"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-01",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"81",",,7","54",",,7","56",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-02",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"86",",,7","55",",,7","56",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-03",,,,,"0.03",",,7,0600","0.0",",,7,","0.0",",,7,",,,"75",",,7","48",",,7","50",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-04",,,,,"0.01",",,7,0600","0.0",",,7,","0.0",",,7,",,,"66",",,7","47",",,7","48",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-05",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"63",",,7","45",",,7","47",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-06",,,,,"0.03",",,7,0600","0.0",",,7,","0.0",",,7,",,,"72",",,7","47",",,7","50",",,7,0600","    1",",,7","    1",",,7",,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-07",,,,,"0.10",",,7,0600","0.0",",,7,","0.0",",,7,",,,"59",",,7","47",",,7","47",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-08",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"74",",,7","46",",,7","50",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-09",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"78",",,7","49",",,7","51",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-10",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"75",",,7","48",",,7","51",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-11",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"86",",,7","51",",,7","54",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-12",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"86",",,7","47",",,7","47",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-13",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"78",",,7","44",",,7","49",",,7,0600",,,,,,,,,,,,
"USW00023062","DENVER STAPLETON, CO US","39.76746","-104.86948","1610.6","2015-10-14",,,,,"0.00",",,7,0600","0.0",",,7,","0.0",",,7,",,,"83",",,7","45",",,7","45",",,7,0600",,,,,,,,,,,,
