"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-15",,,,,"0.00",,,"86","57","83",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-16",,,,,"0.00",,,"88","57","87",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-17",,,,,"0.00",,,"85","67","79",,,"    1",,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-18",,,,,"0.67",,,"77","58","76",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-19",,,,,"0.00",,,"82","53","78",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-20",,,,,"0.00",,,"90","63","87",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-21",,,,,"0.00",,,"88","68","86",,,"    1",,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-22",,,,,"0.00",,,"68","57","61",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-23",,,,,"0.00",,,"79","48","77",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-24",,,,,"0.00",,,"78","49","62",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-25",,,,,"0.00",,,"82","51","62",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-26",,,,,"0.00",,,"83","58","67",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-27",,,,,"0.00",,,"88","65","67",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-28",,,,,"1.55",,,"89","67","68",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-29",,,,,"0.94",,,"76","65","66",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-30",,,,,"0.00",,,"68","64","65",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-08-31",,,,,"0.00",,,"77","65","66",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-09-01",,,,,"0.00",,,"77","62","65",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-09-02",,,,,"0.00",,,"85","66","73",,,,,,,
"USC00193890","JAMAICA PLAIN, MA US","42.30298","-71.12415","29.0","1962-09-03",,,,,"0.00",,,"77","51","59",,,,,,,
